Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
BMW,USED,Automatic,AWD,Diesel,SUV, 4 , 5 ,4 , 2 ,White ,2015,44145.0,32000.0,5.1,100.0
BMW,USED,Automatic,Rear,Premium,Sedan, 4 , 5 ,4 , 2 ,Black ,2021,29567.0,67988.0,6.4,100.0
Mazda,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 2.3 ,Black ,2007,223898.0,7600.0,8.9,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 3 , 4 ,4 , 1.6 ,White ,2013,155244.0,17990.0,6.4,100.0
Toyota,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.5 ,Grey ,2017,149988.0,19950.0,7.9,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Red ,2011,205373.0,9990.0,7.3,100.0
BMW,USED,Automatic,Rear,Premium,Coupe, 2 , 4 ,6 , 3 ,White ,2020,2858.0,129988.0,8.8,100.0
Suzuki,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.4 ,Grey ,2011,201011.0,7999.0,6.2,100.0
Ford,USED,Manual,Rear,Diesel,Commercial, 2 , 3 ,4 , 2.4 ,White ,2008,305593.0,9995.0,9.5,100.0
Toyota,USED,Automatic,Other,Unleaded,Commercial, 4 , 5 ,4 , 2 ,Black ,2009,165589.0,19900.0,7.68,100.0
Peugeot,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,3 , 1.2 ,Silver ,2017,57217.0,16990.0,5.1,100.0
Holden,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 1.4 ,Blue ,2017,83147.0,17888.0,6.9,100.0
Mitsubishi,USED,Automatic,4WD,Diesel,Ute  Tray, 4 , 5 ,4 , 2.5 ,White ,2015,204000.0,18995.0,9.3,100.0
Subaru,USED,Manual,AWD,Unleaded,SUV, 4 , 5 ,4 , 2 ,Red ,2013,122077.0,16857.0,7.2,100.0
Mazda,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2 ,Blue ,2015,60581.0,22990.0,6.1,100.0
Nissan,USED,Manual,4WD,Diesel,Ute  Tray, 2 , 2 ,4 , 2.5 ,White ,2010,259488.0,13950.0,9.8,100.0
Holden,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,4 , 2.4 ,Grey ,2017,186954.0,12990.0,9.0,100.0
Kia,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Red ,2017,21350.0,22990.0,7.1,100.0
Audi,USED,Automatic,AWD,Premium,Hatchback, 5 , 5 ,5 , 2.5 ,White ,2016,47926.0,59990.0,8.1,100.0
Mitsubishi,USED,Manual,Rear,Diesel,Ute  Tray, 2 , 2 ,4 , 2.5 ,White ,2014,88861.0,21880.0,8.0,100.0
Jeep,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,6 , 3 ,Other ,2007,199000.0,10990.0,16.0,100.0
